Na	Na	Na	1.下列基礎物理示範實驗與其主要使用器材的對應，哪一項最恰當？	105sci-1	Na	105學測-自然	A 	彈簧秤 羅盤（磁針） 檢流計 雷射光源	Na	Na	彈簧秤 檢流計 羅盤（磁針） 雷射光源	Na	Na	雷射光源 羅盤（磁針） 檢流計 彈簧秤	Na	Na	檢流計 羅盤（磁針） 彈簧秤 雷射光源	Na	Na	羅盤（磁針） 彈簧秤 雷射光源 檢流計	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
14-15為題組:無機化合物X經過圖5所示的轉變過程後，可得回原來的X：圖中□表示液體，○表示氣體，數目①～⑤代表化學反應或物理變化過程，其中④為兩種氣體混合後點燃，而所有的轉變均在常溫常壓而且適當的反應條件下進行。	105sci-1415	Na	15.試問Z是什麼物質？	Na	Na	105學測-自然	D 	過氧化氫	Na	Na	水	Na	Na	氧氣	Na	Na	氫氣	Na	Na	二氧化硫	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	16.下列生物個體或構造，以適當的器具測量或觀測，何者的對應關係最不恰當？	Na	Na	105學測-自然	E 	大型的成體鯨：高速公路地磅站用的地磅	Na	Na	一歲的嬰兒：菜市場用的磅秤	Na	Na	蛙卵的卵徑：鉛筆盒裡的文具直尺	Na	Na	葉肉細胞：國中實驗室用的複式顯微鏡	Na	Na	葉綠體：高中實驗室用的解剖顯微鏡	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	17.下列細胞內的結構，何者具有雙層膜？	Na	Na	105學測-自然	D 	高基氏體	Na	Na	溶體	Na	Na	內質網	Na	Na	細胞核	Na	Na	液胞	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	18.下列現象的發現，何者與遺傳的染色體學說之建立最不相關？	Na	Na	105學測-自然	A 	染色體由DNA與蛋白質組成	Na	Na	減數分裂時，同源染色體分離	Na	Na	減數分裂時，非同源染色體自由組合	Na	Na	減數分裂時，發生染色體聯會	Na	Na	受精卵的染色體分別來自卵子與精子	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	19.下列有關基因轉殖技術，製備重組DNA的步驟次序，何者正確？Ⅰ.取得含重組DNA分子之細菌Ⅱ.用限制酶切開質體DNAⅢ.由細菌萃取質體Ⅳ.混合外源基因和載體Ⅴ.以DNA連接酶連接DNA	Na	Na	105學測-自然	C 	Ⅲ，Ⅱ，Ⅰ，Ⅳ，Ⅴ	Na	Na	Ⅳ，Ⅱ，Ⅰ，Ⅲ，Ⅴ	Na	Na	Ⅲ，Ⅱ，Ⅳ，Ⅴ，Ⅰ	Na	Na	Ⅳ，Ⅴ，Ⅰ，Ⅱ，Ⅲ	Na	Na	Ⅴ，Ⅳ，Ⅲ，Ⅱ，Ⅰ	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	20.圖6為某一家族之遺傳疾病譜系圖，方型為男性，圓形為女性，空白為正常，實心為患者。若此疾病為隱性性聯遺傳，等位基因X’相對於X為隱性，雄性染色體以Y表示，則下列個體之基因型表示法何者正確？	105sci-20	Na	105學測-自然	B 	1：XY	Na	Na	2：X’X	Na	Na	5：X’Y	Na	Na	7：X’X’	Na	Na	11：XX	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	21.臺灣的降雨分布有明顯的南北差異，但縱使在北部地區，東邊和西邊也有很大的不同。圖7為中央氣象局臺北、宜蘭、臺南三個氣象站，30年的長期月平均降水量分布圖。試問甲（虛線）、乙（實線）、丙（點-虛線）三條曲線依序代表哪三個氣象站？	105sci-21	Na	105學測-自然	D 	臺北、宜蘭、臺南	Na	Na	宜蘭、臺南、臺北	Na	Na	臺北、臺南、宜蘭	Na	Na	宜蘭、臺北、臺南	Na	Na	臺南、宜蘭、臺北	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	22.氣候是長時間尺度下，地球系統中能量交換後呈現的現象。討論氣候變遷時的重點即是地球系統能量的收支平衡。下列有關能量平衡的敘述，何者正確？	Na	Na	105學測-自然	C 	冬季時，高緯度溫度較低緯度寒冷，主要是因為距離太陽較遠，單位面積接收到的能量較少	Na	Na	地球能量主要靠傳導散入外太空	Na	Na	地表接收到的能量大於放出的能量時會造成平均溫度上升	Na	Na	溫室氣體主要是透過吸收太陽輻射，而破壞地球能量的收支平衡	Na	Na	地表吸收太陽光後會反射短波輻射	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	23.圖8及圖9代表北半球兩種不同型態之氣旋，下列有關這兩種氣旋之敘述，何者正確？	105sci-23	Na	105學測-自然	B 	圖8氣旋形成在熱帶溫暖的海面上	Na	Na	圖9氣旋從水氣凝結得到能量，其中心溫度較外圍環境高	Na	Na	圖8氣旋是因高空輻合所造成	Na	Na	圖9氣旋有一邊界以隔開不同溫度之氣團	Na	Na	圖8與圖9兩種氣旋都是在兩種氣團的交界面附近形成	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	24.日月距離與日地距離相當，但是地球擁有大氣層，而月球卻沒有，下列哪一項是最主要原因？	Na	Na	105學測-自然	D 	月球永遠以同一面對著地球	Na	Na	月球的大氣透明，從地球無法直接偵測到	Na	Na	月球成分接近地函，密度太低	Na	Na	月球質量太小	Na	Na	因為月球沒有磁場	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	25.臺灣東部的海岸山脈是由菲律賓海板塊與歐亞板塊聚合所形成的，使得原本是菲律賓海板塊的岩石被擠壓而上升到陸地。下列岩石何者原屬於菲律賓海板塊？	Na	Na	105學測-自然	B 	花岡岩	Na	Na	玄武岩	Na	Na	板岩	Na	Na	片岩	Na	Na	大理岩	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	26.在臺灣某地有一斷層，此斷層面往南北方向延伸，且斷層面垂直地面，志明和鳳英是鄰居，他們的房子恰好以斷層為界，志明的房子在斷層的東邊。從國中一年級到高三約六年的時間，志明發現鳳英的房子往北移動了約二十多公分，此斷層屬於下列哪一種斷層？	Na	Na	105學測-自然	D 	正斷層	Na	Na	逆斷層	Na	Na	左移斷層	Na	Na	右移斷層	Na	Na	轉形斷層	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	27.六月時節，某日天氣晴朗幾近無風，海上救難小組接獲通報，告知有艘漁船八小時前在蘇澳正東方外海五十公里處，與親友通訊後便失去了聯絡，可能已失去動力、開始漂流。由該船最後發出消息的大致位置，救難小組應該往該漁船失聯處的哪個方向搜尋？	Na	Na	105學測-自然	E 	失聯處	Na	Na	東方	Na	Na	西方	Na	Na	南方	Na	Na	北方	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	28.一般來說，要讓空氣達到飽和的方式有增加水氣和降低溫度兩種方式。露點是一種溼度的表示法，它可以反映空氣中實際水氣含量的多寡。如果沒有特別天氣系統影響的情況下，一天中溫度與露點在什麼時間最接近？	Na	Na	105學測-自然	D 	中午	Na	Na	午後	Na	Na	傍晚	Na	Na	清晨	Na	Na	早上十點附近	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	29.在地球上觀測氫原子光譜，於波長486 nm處有一光譜線。天文觀測發現某一星系甲的氫原子光譜中，此486 nm譜線移到492 nm；而另一星系乙的氫原子光譜中，此譜線則移到500 nm。若此天文觀測的結果符合哈伯定律，則下列有關星系甲與乙之敘述，哪些正確？（應選2項）	Na	Na	105學測-自然	BD 	所觀測到之星系甲向地球靠近	Na	Na	所觀測到之星系乙離地球遠去	Na	Na	相較於星系乙，所觀測到之星系甲距地球較遠	Na	Na	相較於星系乙，所觀測到星系甲的遠離速率較小	Na	Na	所觀測到之光譜皆是目前星系甲與乙所發出的光譜	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	30.將一個小球從地面鉛直上拋，假設空氣阻力可以忽略。圖10中甲時刻和乙時刻分別對應於小球往上升及往下掉的過程中，在任一相同高度處的運動狀態，則下列有關小球於甲、乙兩時刻對應的物理量，哪些一定相同？（應選3項）	105sci-30	Na	105學測-自然	ACD 	甲、乙兩時刻的加速度	Na	Na	甲、乙兩時刻的速度	Na	Na	甲、乙兩時刻的重力位能	Na	Na	甲、乙兩時刻的動能	Na	Na	從地面至甲時刻的時間與自最高點掉落至乙時刻的時間	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	31.電磁爐是利用平行於爐面的平面線圈，通電後改變通過金屬鍋底的磁場使其產生應電流，鍋底因電流熱效應而加熱食物。考量設計電磁爐時在其他變因保持不變且可正常工作的條件下，改變下列哪幾項因素，可以加速煮熟食物？（應選3項）	Na	Na	105學測-自然	ABE 	增加產生爐面磁場之交流電源的電壓	Na	Na	增加產生爐面磁場之交流電源的電流	Na	Na	將電磁爐放置在一大型永久磁鐵上	Na	Na	將交流電源改為高壓直流電源	Na	Na	增加產生爐面磁場之線圈匝數	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	32.下列哪些物質被動物分解後會產生含氮廢物？（應選2項）	Na	Na	105學測-自然	AB 	DNA	Na	Na	血紅素	Na	Na	脂肪	Na	Na	肝醣	Na	Na	纖維素	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	33.下列哪些是孟德爾從豌豆雜交實驗中所獲得的重要結論？（應選2項）	Na	Na	105學測-自然	BC 	豌豆的單一性狀有很多差異，這些差異會遺傳給下一代	Na	Na	一種性狀的遺傳，是由一對因子傳遞到下一代	Na	Na	兩種性狀的遺傳因子互不干擾，其遺傳事件彼此獨立	Na	Na	在F1中，隱性性狀出現的頻率大於顯性性狀出現的頻率	Na	Na	豌豆有雜交現象，並不適合作為遺傳研究的材料	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	34.某種蛾其翅膀的顏色是由單基因的兩個等位基因T與t所決定。基因型TT與Tt的顏色為褐色，基因型tt的顏色為黃色。生物學家對此蛾族群進行十年調查的結果如圖11所示。下列判斷哪些正確？（應選2項）	105sci-34	Na	105學測-自然	CD 	等位基因T與t中，t為顯性	Na	Na	基因型TT在族群中的比例逐年升高	Na	Na	等位基因T與t並存於族群中	Na	Na	褐色蛾在族群中的比例逐年降低	Na	Na	此蛾族群大小因黃色蛾比率的增加而變大	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	35.下列哪些是原核生物的細胞？（應選2項）	Na	Na	105學測-自然	AC 	甲烷菌的細胞	Na	Na	酵母菌的細胞	Na	Na	藍綠菌的細胞	Na	Na	松的導管細胞	Na	Na	人的紅血球細胞	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
Na	Na	Na	36.有湧升流現象的海域，其表層海水特性相較周圍海域有顯著不同，甚至會影響該區域天氣或氣候的變化。下列哪些是湧升流海域的特徵？（應選2項）	Na	Na	105學測-自然	AE 	海面易形成霧	Na	Na	表層海水溶氧量增加	Na	Na	表層海水鹽度降低	Na	Na	表層海水較透明	Na	Na	混合層厚度變薄	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
第37題至第40題：聯合國大會宣布2015年為「國際光之年」，世界各國紛紛展開推廣活動，希望大眾了解「光科技」的重要性。想要了解光的特性，首先要認識電磁波光譜。電磁波可依其頻率的高低或波長的長短來劃分。將波長由長到短排列，則分別為無線電波、微波、紅外線、可見光、紫外線、X射線及伽瑪射線，而波長愈長的能量愈低。人眼可看到的只有可見光，其波長約介於380~750 nm。	Na	Na	37.人造光源發光效率約如表2所示，表中的流明（lm）為經人類視覺效率調整之後的照明單位。下列敘述哪些正確？（應選2項）	105sci-37	Na	105學測-自然		紅光光子的能量大於藍光光子	Na	Na	使用油燈時釋出的二氧化碳量與其他燈具差不多	Na	Na	在同一時段提供相同的照明，鎢絲燈泡產生的熱能多於螢光燈	Na	Na	在同一時段提供相同的照明，使用螢光燈所消耗的電能約是使用發光二極體的1/4倍	Na	Na	在同一時段提供相同的照明，使用鎢絲燈泡所消耗的電能約是使用發光二極體的20倍	Na	Na	Na	Na	Na	FALSE	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na
